Day,Date,Time,Court 1,,,,Court 2,,,
,,,#,Team 1,Team 2,#,#,Team 1,Team 2,#
,,7:45 PM,2,Legends,Shamwow,6,12,Questionably Athletic,Rons Rockers,18
,,9:00 PM,8,Monkey,The Goodfellas,17,4,Blockbusters,La Cabana Fiesta,8
Friday,8/23/2019,6:30 PM,2,Chafing The Dream,Power Blackout,11,3,Block Party,Volleylama,12
,,7:45 PM,5,Disqualified,What’s The Score,20,1,Ball Smashers 2,Stars & Spikes,11
,,9:00 PM,6,Here For Beer,Croc O Shit,19,6,Half Spiked,Ron’s Rockin Dinosaurs,10
Monday,8/26/2019,6:30 PM,3,Choke On That Block,Sand Sweat & Beers,13,2,Beer Pressure,Half Spiked,6
,,7:45 PM,4,Deepak’s Virgins,Scared Hitless,14,4,Blockbusters,Vollyagra,13
,,9:00 PM,10,One Hit Wonders,What’s The Score,20,9,Natty’s Daddy,Croc O Shit,19
Tuesday,8/27/2019,6:30 PM,1,Aces High,Soldner,15,7,It’s All Good,Stars & Spikes,11
,,7:45 PM,2,Chafing The Dream,Spiked Punch,16,5,Bumpin Uglies,La Cabana Fiesta,8
,,9:00 PM,7,Just The Tip,Rons Rockers,18,11,Power Blackout,The Goodfellas,17
Wednesday,8/28/2019,6:30 PM,3,Little Rascals,The Goonies,8,4,Phillippas,ZeePellz,9
,,7:45 PM,#,Blue,Blue,#,#,Blue,Blue,#
,,9:00 PM,3,Choke On That Block,Scared Hitless,14,9,Old Diggers,Volleylama,12
Thursday,8/29/2019,6:30 PM,10,One Hit Wonders,Croc O Shit,19,10,Ron’s Rockin Dinosaurs,Vollyagra,13
,,7:45 PM,12,Questionably Athletic,The Goodfellas,17,5,Disqualified,Spiked Punch,16
,,9:00 PM,4,Deepak’s Virgins,Sand Sweat & Beers,13,#,Red,Red,#
Friday,8/30/2019,6:30 PM,9,Natty’s Daddy,What’s The Score,20,#,Red,Red,#
,,7:45 PM,8,Monkey,Rons Rockers,18,#,Red,Red,#
,,9:00 PM,6,Here For Beer,Soldner,15,#,Red,Red,#
Monday,9/2/2019,6:30 PM,#,White,White,#,#,Red,Red,#
,,7:45 PM,#,White,White,#,#,Red,Red,#
,,9:00 PM,#,White,White,#,#,White,White,#
Tuesday,9/3/2019,6:30 PM,#,White,White,#,#,Red,Red,#
,,7:45 PM,#,White,White,#,#,Red,Red,#
,,9:00 PM,#,White,White,#,#,White,White,#
Wednesday,9/4/2019,6:30 PM,#,Blue,Blue,#,#,Blue,Blue,#
,,7:45 PM,#,Blue,Blue,#,#,Blue,Blue,#
,,9:00 PM,#,White,White,#,#,Red,Red,#
Thursday,9/5/2019,6:30 PM,#,Blue,Blue,#,#,Red,Red,#
,,7:45 PM,#,Blue,Blue,#,#,White,White,#
,,9:00 PM,#,White,White,#,#,Red,Red,#
